,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path_b_av,path1_av_i,path2_av_i,path3_av_i,path3_av_i_av,path2_av_mean,path2_av_std
382,long_path,lp2,10s,ignore,12,gaus_normal,"[13.364559042699154, 8.18204582697757]","[2.595528795951269, 1.0478447254315029]","[8.096894357771697, 2.180895355547864]",8.01899406547404,"[13.006078379763641, 7.360911550972804]","[2.4524526039464782, 0.9775981760161017]","[7.834523742991768, 3.1658918202993704]",7.764351575567296,[13.75909277084789],[3.1709561903241332],[9.147403618512076],8.692484193228033,2.595528795951269,1.0478447254315029
381,long_path,lp2,10s,ignore,12,gaus_80,"[13.147872957675418, 8.372718503539325]","[2.6394096614446925, 0.9344088892405763]","[8.02326660045543, 2.2241423635659077]",7.936849739858514,"[12.633114474498772, 7.313916398018624]","[2.5634435079810314, 1.2251640166670585]","[7.6413760940687485, 3.592725219700618]",7.61264469218285,[13.65081383124873],[3.4321914282154515],[9.043762460268509],8.70892257324423,2.6394096614446925,0.9344088892405763
340,long_path,lp2,5s,ignore,3,average,"[14.080210770937605, 8.675498981294586]","[2.6955715813313312, 1.7466320984598454]","[7.810133959876542, 2.8155444560468292]",8.195305437381826,"[13.662410071738405, 9.129037288847954]","[2.3654841825158504, 1.8228458408995247]","[7.816402664609053, 4.80577361791239]",7.948098972954437,[14.79330065413032],[3.458572192192192],[9.292781472766883],9.181551439696465,2.6955715813313312,1.7466320984598454
342,long_path,lp2,5s,ignore,3,gaus_normal,"[13.991330993178103, 9.088686370256475]","[2.7067587996160807, 1.5963763030477096]","[7.612467604422026, 2.8071908402153665]",8.103519132405404,"[13.685540922417818, 8.965662426427334]","[2.464343534454851, 1.570469301367617]","[7.65601364833441, 4.751287003261957]",7.935299368402359,[14.796149475125327],[3.603688069009672],[9.066206140504908],9.155347894879968,2.7067587996160807,1.5963763030477096
343,long_path,lp2,5s,ignore,3,gaus_top,"[14.190715182098765, 9.431357411729818]","[2.7463110535535527, 1.3752735142030004]","[7.192803714506174, 2.9717006902454397]",8.04327665005283,"[14.088325349516182, 9.477621282554894]","[4.091650570153487, 1.6347136866902268]","[7.734923220164609, 5.334806326774401]",8.638299713278093,[15.446704024057391],[5.0143146345512175],[9.401809651537159],9.954276103381922,2.7463110535535527,1.3752735142030004
341,long_path,lp2,5s,ignore,3,gaus_80,"[13.87097097881986, 9.227133095165009]","[2.7525265099611738, 1.5753261930358566]","[7.508083158478306, 2.901163438155039]",8.043860215753114,"[13.681611442244945, 8.933182537848047]","[2.6102339795351743, 1.5497572166228062]","[7.6064676654190135, 4.670580418332752]",7.966104362399712,[14.740980782304934],[3.7611949649135283],[9.001760465050136],9.167978737422866,2.7525265099611738,1.5753261930358566
345,long_path,lp2,5s,ignore,6,gaus_80,"[13.248547822669172, 8.915767573612444]","[2.7699391985665827, 1.5197312117931607]","[8.050979004292918, 2.503354877461428]",8.023155341842893,"[13.273503851141138, 10.243313646390389]","[2.5020660246825215, 1.8615581045656133]","[7.956718384537265, 5.277636419304221]",7.910762753453642,[14.014464084805983],[3.6592059882372516],[9.35753812281167],9.010402731951634,2.7699391985665827,1.5197312117931607
344,long_path,lp2,5s,ignore,6,average,"[13.590963743159827, 8.4109482747068]","[2.804457747997997, 1.599474369523339]","[8.086251885288068, 2.622842396137099]",8.160557792148632,"[13.839488123981123, 9.463605551268664]","[2.399534048631965, 2.022759708451247]","[8.06975709876543, 4.240188304667838]",8.10292642379284,[14.38710569409012],[3.3078385565565567],[9.398018896635197],9.030987715760626,2.804457747997997,1.599474369523339
346,long_path,lp2,5s,ignore,6,gaus_normal,"[13.386746785926498, 8.660115566076572]","[2.8148815253107156, 1.5550527444672484]","[8.051409781014566, 2.5603996587713507]",8.084346030750593,"[13.609542822667024, 10.136633447176319]","[2.324395409805992, 1.9482246250010562]","[7.920361301053027, 4.839867901064641]",7.951433177842014,[14.167698893902005],[3.4631310206259824],[9.365015913313139],8.99861527594704,2.8148815253107156,1.5550527444672484
336,long_path,lp2,5s,ignore,1,average,"[14.381055768810477, 9.072679228933296]","[3.001656688438439, 1.964847937712163]","[7.665754853395064, 3.0651445173020737]",8.349489103547993,"[14.24167645788646, 9.774520933665368]","[4.632322182599265, 2.6636899598803407]","[7.77195933127572, 6.172811726982649]",8.881985990587149,[15.594207398999],[5.03151696279613],[9.59814783986928],10.07462406722147,3.001656688438439,1.964847937712163
