,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path_b_av,path1_av_i,path2_av_i,path3_av_i,path3_av_i_av
437,long_path,lp2_n85,5s,ignore,3,gaus_80,"[14.271578261172245, 9.034171662917737]","[7.656923485464933, 3.6775002406259567]","[10.762099571742619, 4.364783188532671]",10.8968671061266,"[16.06650818242628, 13.022447699672599]","[7.007195773184876, 4.635838349877749]","[11.07070912240039, 7.378153741237305]",11.38147102600385,[17.30786292716585],[10.25576950005527],[12.890180439240396],13.484604288820506
438,long_path,lp2_n85,5s,ignore,3,gaus_normal,"[14.200503459627711, 8.927584427264252]","[7.6923237897954735, 3.8954821854384796]","[10.571684948644451, 4.051537678820378]",10.821504066022547,"[15.706048541994344, 10.431013043560185]","[7.412594726222771, 4.845929174049987]","[10.885719378558335, 6.665980714674086]",11.33478754892515,[17.12258686916821],[10.446025148690904],[12.688069407585148],13.418893808481421
439,long_path,lp2_n85,5s,ignore,3,gaus_top,"[14.625776599808141, 8.789157410066883]","[8.256520864656324, 4.156899187099514]","[10.893781146604939, 5.839366702207447]",11.258692870356468,"[16.855764304876306, 12.281442092530574]","[9.335168683683683, 5.808882884951644]","[11.977266698412699, 7.559415816890232]",12.722733228990895,[18.25850438288279],[12.647363710126793],[13.381258177478491],14.762375423496024
440,long_path,lp2_n85,5s,ignore,6,average,"[14.263007891474807, 8.858249596318128]","[7.24526820199366, 4.030815746579269]","[9.983186628086422, 3.6174464248020204]",10.497154240518297,"[14.122403973830975, 10.303432419687567]","[7.153007690190189, 4.4846732881680555]","[10.375947104377106, 5.0588738142645715]",10.550452922799423,[16.695132023110414],[9.638243319275798],[11.943787300975362],12.75905421445386
441,long_path,lp2_n85,5s,ignore,6,gaus_80,"[14.238203578824924, 9.090238905815756]","[7.063598009313324, 3.892152411935791]","[10.525414757332506, 4.606035012489679]",10.609072115156918,"[14.607706540180786, 11.208446337730336]","[5.422667646087398, 4.378536899345779]","[10.754355472870213, 6.842337307314911]",10.261576553046131,[16.97489558201636],[8.787554188459872],[12.56145997688275],12.774636582452993
442,long_path,lp2_n85,5s,ignore,6,gaus_normal,"[14.129830076610874, 9.113281844911237]","[7.0870923936824175, 4.04431515116312]","[10.274412978586108, 4.1877705413397495]",10.497111816293133,"[14.270555230463211, 10.903224408303988]","[5.898715086027803, 4.139383228004596]","[10.513060288272612, 5.9235523849136875]",10.227443534921209,[16.697908336928908],[9.067249409394861],[12.226423792400908],12.663860512908224
443,long_path,lp2_n85,5s,ignore,6,gaus_top,"[14.44670700258592, 9.0693112986295]","[7.060126017183852, 3.711574325968497]","[10.473537880658437, 5.803009811515639]",10.66012363347607,"[16.68639120679503, 12.313539846555608]","[8.321547044544545, 4.981568539144698]","[10.441040875420875, 7.946110094221571]",11.816326375586817,[18.296315794593195],[10.880034530759021],[12.541373451215861],13.905907925522692
444,long_path,lp2_n85,5s,ignore,12,average,"[13.877492838234069, 8.946338248383807]","[6.41379958315607, 3.1855378112223565]","[9.827542371141973, 3.4903058216847134]",10.039611597510705,"[13.931297640497641, 9.768583393798451]","[6.138802148398398, 3.9409764526143527]","[10.117143249158252, 4.7440808729898265]",10.062414346018096,[15.896124186679865],[8.356470806208382],[11.547470770143232],11.933355254343828
445,long_path,lp2_n85,5s,ignore,12,gaus_80,"[14.136512550698804, 9.298436468617165]","[6.509114730539132, 2.991421295772711]","[10.086722505038365, 4.461107728910586]",10.244116595425433,"[14.878262902593645, 10.25625208645481]","[4.8913602195423005, 3.846550745741389]","[10.441848647881239, 5.625114130698516]",10.070490590005727,[16.14769719513048],[7.475919854921666],[11.847318533663524],11.82364519457189
446,long_path,lp2_n85,5s,ignore,12,gaus_normal,"[14.052380261275497, 9.159513950796843]","[6.466919311800304, 3.074668637577051]","[9.958870228374147, 4.048587478789614]",10.159389933816648,"[14.446189732209579, 10.06872827958681]","[4.765932055707011, 3.656827750527708]","[10.195784980665044, 5.178784886590966]",9.802635589527211,[15.994408765636265],[7.600608646472841],[11.6841805182841],11.759732643464403
447,long_path,lp2_n85,5s,ignore,12,gaus_top,"[14.649648579273718, 9.929860105698172]","[6.148482142183852, 3.4394390290005847]","[10.906538029320988, 6.169402474003687]",10.568222916926185,"[15.843253272415275, 13.234042749261656]","[6.613392663496831, 6.7564344225269455]","[10.068884074074075, 9.111625383864878]",10.84184333666206,[17.812635974623923],[8.726506189098519],[12.067340088301],12.868827417341146
448,long_path,lp2_n85,10s,penalty,1,average,"[13.706507882994106, 10.872940059545845]","[4.0859038558558565, 1.2736548831574732]","[7.3761118888888895, 5.0678586171835915]",8.389507875912951,"[13.927980120120118, 12.250613867458434]","[5.15232364114114, 2.7088844750367143]","[7.149889835390947, 5.502462883788874]",8.743397865550735,[14.451305189634079],[5.583541867200534],[8.833030197530864],9.622625751455159
449,long_path,lp2_n85,10s,penalty,1,gaus_80,"[13.706507882994106, 10.872940059545845]","[4.0859038558558565, 1.2736548831574732]","[6.911679055555556, 5.015420102198668]",8.234696931468507,"[13.927980120120118, 12.250613867458434]","[5.15232364114114, 2.7088844750367143]","[7.149889835390947, 5.502462883788874]",8.743397865550735,[14.451305189634079],[5.583541867200534],[8.417263943839263],9.484037000224626
450,long_path,lp2_n85,10s,penalty,1,gaus_normal,"[13.706507882994106, 10.872940059545845]","[4.0859038558558565, 1.2736548831574732]","[6.911679055555556, 5.015420102198668]",8.234696931468507,"[13.927980120120118, 12.250613867458434]","[5.15232364114114, 2.7088844750367143]","[7.149889835390947, 5.502462883788874]",8.743397865550735,[14.451305189634079],[5.583541867200534],[8.417263943839263],9.484037000224626
451,long_path,lp2_n85,10s,penalty,1,gaus_top,"[13.706507882994106, 10.872940059545845]","[4.0859038558558565, 1.2736548831574732]","[6.911679055555556, 5.015420102198668]",8.234696931468507,"[13.927980120120118, 12.250613867458434]","[5.15232364114114, 2.7088844750367143]","[7.149889835390947, 5.502462883788874]",8.743397865550735,[14.451305189634079],[5.583541867200534],[8.417263943839263],9.484037000224626
