,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path1_av_i,path2_av_i,path3_av_i
393,long_path,lp,3s,penalty,6,gaus_80,"[15.66936737582597, 8.151509990799592]","[5.464749500178224, 3.8280829720716487]","[8.584623810978808, 4.8078566327445085]",9.906246895661,"[15.459886936056733, 9.68921815728755]","[5.905572126418692, 4.156653262508243]","[8.267793678342136, 6.689051489775599]",[18.437081851670637],[8.577973854558959],[9.229963575569636]
394,long_path,lp,3s,penalty,6,gaus_normal,"[15.546683998228627, 8.021161812629622]","[5.446255732225323, 3.806581930285908]","[8.400565908375551, 4.577878942959825]",9.797835212943166,"[15.478956988449326, 9.670271773260962]","[6.114136952156076, 4.209234521330776]","[8.051495681931266, 6.248821647369618]",[18.19335319974844],[8.42075040732946],[8.962002786309188]
395,long_path,lp,3s,penalty,6,gaus_top,"[16.00696529245079, 7.955204369220017]","[6.265505020120121, 4.6335855167064635]","[8.374605444444445, 5.266767879777649]",10.215691919005119,"[16.884353565383567, 10.203902452840033]","[7.814138975975976, 6.773924893638739]","[8.140694822695036, 8.728659818242246]",[19.686081807509733],[9.922825206978029],[9.739782481039686]
396,long_path,lp,3s,penalty,12,average,"[18.314825651445194, 8.336793776563942]","[8.237180410019395, 5.12601267515057]","[23.356240153472225, 7.047638453231661]",16.636082071645603,"[16.903015940282387, 10.402154534212245]","[6.041906005630631, 4.435797745275508]","[16.92010429378531, 11.75619360280443]",[22.157357973809773],[9.983146435051076],[24.55582472996319]
397,long_path,lp,3s,penalty,12,gaus_80,"[15.47147706879937, 8.693165378068773]","[5.519272727281298, 3.7427967218197367]","[9.545132847738534, 5.411469145794355]",10.178627547939733,"[15.518787307805555, 9.1503848119894]","[5.072458926251288, 3.6859205201475684]","[9.051473818455925, 6.300596862463752]",[18.741470248680727],[7.940127316058415],[10.618739458000285]
398,long_path,lp,3s,penalty,12,gaus_normal,"[15.421302099047184, 8.454282255580381]","[5.553488647559499, 3.685514450448371]","[9.257392258372382, 5.028882927759103]",10.077394334993022,"[15.364105134842374, 8.91018723705015]","[5.345292817880162, 3.724051532935289]","[8.990557109813668, 5.740052797195625]",[18.42597350857978],[7.821448849544554],[10.243462929203025]
399,long_path,lp,3s,penalty,12,gaus_top,"[15.462415565415418, 8.58843706325764]","[5.305654142117118, 4.08374368164238]","[9.01433019166667, 6.328929114135804]",9.927466633066402,"[17.66716877734878, 10.579064395780858]","[7.131446667667669, 6.161263494550062]","[9.054284558404559, 8.655583182099091]",[19.747101695332752],[9.18107953972846],[10.509490148221039]
400,long_path,lp,3s,ignore,1,average,"[14.782280417067067, 8.525208895508863]","[2.939593175, 1.5960842437033782]","[7.584909137962963, 3.0392067474391085]",8.435594243343344,"[14.454152921542233, 10.214381346024782]","[4.308320717717718, 3.684977495078389]","[8.51561989603639, 6.302863109374561]",[15.955188646716854],[4.7990964496945665],[9.60483024984554]
401,long_path,lp,3s,ignore,1,gaus_80,"[14.691171583733734, 8.516695459143808]","[2.939593175, 1.5960842437033782]","[7.56246525462963, 3.0256420566575764]",8.397743337787787,"[14.454152921542233, 10.214381346024782]","[4.308320717717718, 3.684977495078389]","[8.391500965608467, 6.289464501429636]",[15.87396176881148],[4.7990964496945665],[9.580006463759956]
402,long_path,lp,3s,ignore,1,gaus_normal,"[14.691171583733734, 8.516695459143808]","[2.939593175, 1.5960842437033782]","[7.56246525462963, 3.0256420566575764]",8.397743337787787,"[14.454152921542233, 10.214381346024782]","[4.308320717717718, 3.684977495078389]","[8.391500965608467, 6.289464501429636]",[15.87396176881148],[4.7990964496945665],[9.580006463759956]
403,long_path,lp,3s,ignore,1,gaus_top,"[14.691171583733734, 8.516695459143808]","[2.939593175, 1.5960842437033782]","[7.56246525462963, 3.0256420566575764]",8.397743337787787,"[14.454152921542233, 10.214381346024782]","[4.308320717717718, 3.684977495078389]","[8.391500965608467, 6.289464501429636]",[15.87396176881148],[4.7990964496945665],[9.580006463759956]
404,long_path,lp,3s,ignore,3,average,"[14.602340638063062, 8.231385979435343]","[2.957932222685185, 1.7243096799886792]","[8.013688541666665, 2.7306540344292327]",8.52465380080497,"[14.180223764971869, 9.460853820373606]","[3.164121762512513, 2.203344622076469]","[8.516894656084656, 4.873727584042449]",[15.604034329031279],[3.7379233698185366],[9.289023655448927]
405,long_path,lp,3s,ignore,3,gaus_80,"[14.547762381100997, 8.44443394798223]","[2.8746463529421398, 1.555051679098347]","[7.86220613822336, 2.751462657196189]",8.428204957422166,"[14.490948991384208, 9.559222776175815]","[3.156475608297762, 1.9571195616435542]","[8.181644961790928, 5.090001588891303]",[15.566074640134797],[3.8258418396823095],[9.17859982601669]
406,long_path,lp,3s,ignore,3,gaus_normal,"[14.517676235033786, 8.368227508042358]","[2.8723934885250895, 1.5947063240515684]","[7.904960018968598, 2.6960318969959887]",8.43167658084249,"[14.417313825222452, 9.550277970367558]","[3.1074690053153056, 1.9513534185912982]","[8.230346527673875, 4.979056849237299]",[15.53762723206853],[3.7451320166263953],[9.183723268746917]
407,long_path,lp,3s,ignore,3,gaus_top,"[14.488602740840841, 8.424484610882978]","[2.7874920393518523, 1.883932561969686]","[7.921900712962965, 3.300760477977638]",8.399331831051887,"[15.03690732819026, 9.812242090001154]","[4.373047160910911, 1.8933813786985052]","[8.268223624338626, 5.4237523313805]",[15.854915480996407],[5.181281551022817],[9.771211746502972]
408,long_path,lp,3s,ignore,6,average,"[14.024280849011513, 8.00791781291195]","[2.964653609534536, 1.6589350770976348]","[8.076563512962965, 2.537162184871675]",8.355165990503004,"[14.183352102533567, 9.48599152224624]","[3.058397011636637, 1.9007859508109868]","[8.577000211176088, 3.6087026736284096]",[15.110440945185704],[3.8679120521232777],[9.420296424876316]
409,long_path,lp,3s,ignore,6,gaus_80,"[13.939477926649333, 8.259200647512746]","[2.755503623259767, 1.4959796438163229]","[7.834569574935159, 2.4779227794219296]",8.176517041614753,"[14.378823924724044, 9.947372158147065]","[3.028950608472356, 1.7949078987773177]","[8.034920240095392, 4.10675298516062]",[14.996564555674734],[3.913927113137921],[9.272806510409325]
410,long_path,lp,3s,ignore,6,gaus_normal,"[13.948781174191545, 8.186454880256589]","[2.8782860628594276, 1.5620005428166275]","[7.921268437592413, 2.4603058442452097]",8.249445224881129,"[14.337542297341308, 9.81307079619639]","[2.97815432687767, 1.7709708796171029]","[8.257599043705888, 3.7480337984535925]",[15.006755707429473],[3.894006085278545],[9.29259262477114]
411,long_path,lp,3s,ignore,6,gaus_top,"[14.317136557132134, 8.082355601966734]","[3.439475072034534, 1.84064652500017]","[7.972850056481482, 3.092270280342035]",8.576487228549382,"[15.113787422255589, 10.776941071362124]","[4.740752349099099, 1.5267165803455736]","[8.540137368421053, 5.975187107240285]",[15.59820729289559],[6.057474749638099],[9.943441302516495]
412,long_path,lp,3s,ignore,12,average,"[13.982689296233735, 7.473054404625517]","[3.310853287659532, 1.705886774055071]","[8.416147615740742, 2.6197994706559036]",8.569896733211337,"[14.377216987591039, 8.814763555825008]","[3.5035716232899574, 1.8583433683797959]","[8.833740597790774, 3.18726210149899]",[15.075184253508528],[4.099409468601936],[9.64208399362214]
413,long_path,lp,3s,ignore,12,gaus_80,"[13.950066338248421, 7.932999714156785]","[2.9696023798709477, 1.6235865129942557]","[7.859421386197564, 2.696783861775138]",8.259696701438978,"[14.638907512551754, 9.793622919647483]","[3.27719641661905, 1.6166134117209767]","[8.333344961678149, 3.74308901362758]",[15.00509410935138],[4.102064010721983],[9.490198556643502]
414,long_path,lp,3s,ignore,12,gaus_normal,"[13.982174334127608, 7.783334836705991]","[3.12032310282999, 1.603532697715528]","[8.08990559592071, 2.6391083184846775]",8.397467677626103,"[14.633264468020128, 8.97887008878033]","[3.3480328743138488, 1.6479936764306944]","[8.632705836061614, 3.431373990268078]",[15.020392796652322],[4.05566071568758],[9.569965786653693]
415,long_path,lp,3s,ignore,12,gaus_top,"[14.556797232132134, 8.62078313689148]","[4.036484003628628, 2.000005916484398]","[8.418937669444444, 3.351983810043866]",9.004072968401736,"[15.357905443276612, 10.824731509071405]","[4.943256462212212, 2.3271683227965196]","[8.809907388575017, 5.928498186215911]",[16.33658318363886],[6.559330840790791],[10.859732853302665]
416,long_path,lp,5s,penalty,1,average,"[13.839229141307975, 6.760783022829481]","[4.268337288455122, 2.453112901748685]","[7.233063338991769, 3.68263621562009]",8.446876589584955,"[14.075082808085867, 8.57949725250545]","[3.687222909993327, 3.2401438226513473]","[6.653864150326797, 7.267866786266488]",[17.77245820959849],[6.079047219219219],[8.21002471278141]
417,long_path,lp,5s,penalty,1,gaus_80,"[13.884968738530198, 7.425214431171893]","[4.268337288455122, 2.453112901748685]","[7.026422414609052, 3.6665698279702243]",8.39324281386479,"[14.075082808085867, 8.57949725250545]","[3.687222909993327, 3.2401438226513473]","[6.653864150326797, 7.267866786266488]",[16.41918382605777],[6.079047219219219],[7.746040231946606]
418,long_path,lp,5s,penalty,1,gaus_normal,"[13.884968738530198, 7.425214431171893]","[4.268337288455122, 2.453112901748685]","[7.026422414609052, 3.6665698279702243]",8.39324281386479,"[14.075082808085867, 8.57949725250545]","[3.687222909993327, 3.2401438226513473]","[6.653864150326797, 7.267866786266488]",[16.41918382605777],[6.079047219219219],[7.746040231946606]
