,x,y,x_pf,y_pf,time,av_time
49,472,173,489.86081356700555,167.14629113588745,2021-04-08 18:53:10,2021-04-08 18:53:12.416666624
50,494,170,492.1884611756825,166.96559890176067,2021-04-08 18:53:15,2021-04-08 18:53:16.500000000
51,490,162,491.581956079309,162.5176111169034,2021-04-08 18:53:20,2021-04-08 18:53:22.749999936
52,497,155,494.15697344866874,156.10311077738208,2021-04-08 18:53:25,2021-04-08 18:53:26.833333333
53,489,165,491.6286213303201,158.61847638228818,2021-04-08 18:53:30,2021-04-08 18:53:33.000000000
54,477,157,483.13396878350216,154.51839577023634,2021-04-08 18:53:35,2021-04-08 18:53:35.500000000
55,488,163,484.6701553808672,156.0682170662305,2021-04-08 18:53:40,2021-04-08 18:53:41.500000000
56,486,154,484.27207382624647,153.85497847810382,2021-04-08 18:53:45,2021-04-08 18:53:45.666666667
57,499,176,493.1546495002844,162.4459057674141,2021-04-08 18:53:50,2021-04-08 18:53:52.111111083
58,482,178,485.6669355581159,169.03515175240284,2021-04-08 18:53:55,2021-04-08 18:53:56.833333248
